"movie_id","movie_releaseYear","movie_title","movie_voteAverage","movie_voteNb","movie_budget"
1700,1990,"Misery",7.7,2132,20000000
293,1992,"A River Runs Through It",7.1,446,12000000
11450,1994,"Quiz Show",7.3,420,0
22538,2010,"Scott Pilgrim vs. the World",7.3,3878,60000000
13,1994,"Forrest Gump",8.4,14800,55000000
285783,2015,"The Walk",6.9,1904,35000000
11416,1986,"The Mission",7.3,586,24500000
805,1968,"Rosemary's Baby",7.7,1716,3200000
205775,2015,"In the Heart of the Sea",6.6,2132,100000000
186161,2013,"The Gilded Cage",6.9,177,7000000
19908,2009,"Zombieland",7.2,6440,23600000
82682,2013,"Gangster Squad",6.3,2524,60000000
256917,2014,"The Water Diviner",6.8,680,22500000
312221,2015,"Creed",7.3,4005,37000000
294963,2015,"Bone Tomahawk",6.8,904,1800000
112336,2012,"Hitchcock",6.5,826,0
14,1999,"American Beauty",8,6518,15000000
4147,2002,"Road to Perdition",7.3,1836,80000000
764,1981,"The Evil Dead",7.3,1683,350000
16121,1980,"The Big Red One",6.9,132,4500000
245168,2015,"Suffragette",7.3,978,14000000
158091,2013,"Metro Manila",7.5,75,0
938,1965,"For a Few Dollars More",8,1758,600000
335,1968,"Once Upon a Time in the West",8.3,2036,5000000
336,1971,"Duck, You Sucker",7.8,403,0
311,1984,"Once Upon a Time in America",8.4,2239,20000000
11798,2006,"This Is England",7.5,617,2380000
272691,2014,"Sea Fog",6.6,49,0
389,1957,"12 Angry Men",8.4,3724,350000
153,2003,"Lost in Translation",7.4,3469,4000000
152601,2013,"Her",7.9,7767,23000000
1429,2002,"25th Hour",7.4,1165,15000000
39486,2010,"Secretariat",7,200,35000000
935,1964,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",8.1,2746,1800000
185,1971,"A Clockwork Orange",8.2,6697,2200000
967,1960,"Spartacus",7.5,912,12000000
238713,2015,"Spy",6.8,3913,65000000
84892,2012,"The Perks of Being a Wallflower",7.8,5927,13000000
206563,2014,"Trash",7.1,353,0
205220,2013,"Philomena",7.4,944,12000000
76025,2011,"Shame",7,1602,6500000
161,2001,"Ocean's Eleven",7.3,6613,85000000
839,1971,"Duel",7.4,740,450000
424,1993,"Schindler's List",8.5,8053,22000000
329,1993,"Jurassic Park",7.8,8997,63000000
640,2002,"Catch Me If You Can",7.9,7295,52000000
